id_num,name,id,version,start_date,end_date,change,citation,start_n,end_n,area_sqmi,terr_type,full_name,abbr_name,name_start
1,Alaska Department,ak_dept,1,1867-03-30,1884-05-16,"The United States acquired Alaska from Russia. Presidential proclamation issued 20 June 1867. Alaska was considered an ""unorganized territory"" with no organized civil government.","(Parry, 134:331-335; Swindler, 1:163-168)",18670330,18840516,575301.000000,Unorganized Territory,Alaska Department,AK Dept,Alaska Department (1867-03-30)
2,Alaska District,ak_district,1,1884-05-17,1912-08-23,The United States Congress established a civil government for Alaska. This act was limited and resulted in a partial organization of Alaska as a territory.,"(Swindler, 1:168-174)",18840517,19120823,575301.000000,Unorganized Territory,Alaska District,AK Dist,Alaska District (1884-05-17)
3,Alaska,ak_state,1,1959-01-03,2000-12-31,The state of Alaska was created from Alaska Territory by Presidential proclamation; Alaska Territory eliminated.,"(Swindler, 1:208-225; Van Zandt, 165)",19590103,20001231,575301.000000,State,Alaska,AK,Alaska (1959-01-03)
4,Alaska Territory,ak_terr,1,1912-08-24,1959-01-02,Alaska was fully organized as a territory in the United States.,"(U.S. Stat., vol. 37, ch. 387[1912]/pp. 512-518; Van Zandt, 29)",19120824,19590102,575301.000000,Territory,Alaska Territory,AK Terr,Alaska Territory (1912-08-24)
5,Alabama,al_state,1,1819-12-14,1820-05-28,The state of Alabama was created from Alabama Territory; Alabama Territory eliminated.,"(U.S. Stat., vol. 3, ch. 47 [1819], secs. 1-3/pp. 489-492 and res. 1 [1819]/p. 608; Van Zandt, 108-109)",18191214,18200528,52591.0000000,State,Alabama,AL,Alabama (1819-12-14)
6,Alabama,al_state,2,1820-05-29,1820-12-18,"Surveyors demarcated the southern segment of the Alabama-Mississippi line, fixing the end point ten miles east of the mouth of the Pascagoula River. BALDWIN, MOBILE, and WASHINGTON lost to the state of Mississippi.","(Van Zandt, 108-109)",18200529,18201218,52301.0000000,State,Alabama,AL,Alabama (1820-05-29)
7,Alabama,al_state,3,1820-12-19,2000-12-31,MARION's overlap of the state of Mississippi and TUSCALOOSA's overlap of the state of Mississippi ended.,"(Ala. Acts 1820, 2d sess., secs. 1, 9/pp. 90, 92)",18201219,20001231,51656.0000000,State,Alabama,AL,Alabama (1820-12-19)
8,Alabama Territory,al_terr,1,1817-03-03,1818-02-05,The United States created Alabama Territory from the eastern half of Mississippi Territory.,"(U.S. Stat., vol. 3, ch. 59 [1817], sec. 1/p. 371)",18170303,18180205,51947.0000000,Territory,Alabama Territory,AL Terr,Alabama Territory (1817-03-03)
9,Alabama Territory,al_terr,2,1818-02-06,1819-12-13,TUSCALOOSA created by Alabama Territory from MONTGOMERY and Non-County Area 1; TUSCALOOSA overlapped non-county area in the state of Mississippi.,"(Ala. Terr. Acts 1818, 1st sess., secs. 1-3/pp. 16-18)",18180206,18191213,52591.0000000,Territory,Alabama Territory,AL Terr,Alabama Territory (1818-02-06)
10,Arkansas,ar_state,1,1836-06-15,1840-05-20,The state of Arkansas was created from Arkansas Territory; Arkansas Territory eliminated.,"(U.S. Stat., vol. 5, chs. 100, 120 [1836]/pp. 50-52, 58-59; Swindler, 1: 342-344, 354-358; Van Zandt, 119)",18360615,18400520,57231.0000000,State,Arkansas,AR,Arkansas (1836-06-15)
11,Arkansas,ar_state,2,1840-05-21,2000-12-31,Survey of boundary between the Republic of Texas and the United States began. MILLER (original) officially became extinct and LAFAYETTE was eliminated from Texas when Texas claims to the area were upheld.,"(U.S. Stat., vol. 5, ch. 75 [1844]/p. 674; Marshall, 235-236)",18400521,20001231,53179.0000000,State,Arkansas,AR,Arkansas (1840-05-21)
12,Arkansas Territory,ar_terr,1,1819-07-04,1824-05-25,The United States created Arkansas Territory from Missouri Territory. Arkansas Territory included all of present Arkansas and part of present Oklahoma. Boundary between Arkansas Territory and Mexico remained unsettled.,"(U.S. Stat., vol. 3, ch. 49[1819]/pp. 493-496; Van Zandt, 118-119)",18190704,18240525,111183.000000,Territory,Arkansas Territory,AR Terr,Arkansas Territory (1819-07-04)
13,Arkansas Territory,ar_terr,2,1824-05-26,1828-05-05,Arkansas Territory was reduced in size when the western extent of the territory was moved to a line running forty miles west of the southwest corner of Missouri.,"(U.S. Stat., vol. 4, ch. 155 [1824]/pp. 40-41; Morris, Goins, McReynolds, 21; Van Zandt, 119)",18240526,18280505,66636.0000000,Territory,Arkansas Territory,AR Terr,Arkansas Territory (1824-05-26)
14,Arkansas Territory,ar_terr,3,1828-05-06,1836-06-14,"CLARK, CRAWFORD, LOVELEY, and MILLER lost to Indian lands when the treaty between the United States and Cherokee Indians established the western line of Arkansas Territory north of Red River along the eastern line of the Choctaw Cession.","(U.S. Stat., vol. 7, p. 311; Gabler, 37-39; Royce, 720-721; Van Zandt, 119)",18280506,18360614,57231.0000000,Territory,Arkansas Territory,AR Terr,Arkansas Territory (1828-05-06)
15,Arizona,az_state,1,1912-02-14,2000-12-31,The state of Arizona was created from Arizona Territory; Arizona Territory eliminated.,"(U.S. Stat., vol. 34, pt. 1, ch. 3335[1906]/pp. 267-285; U.S. Stat., vol. 36, pt. 1, ch. 310[1910]/pp. 557-579; U.S. Stat., vol. 37, pt. 1, res. 8[1911]/pp. 39-43; pt. 2[1912]/pp. 1728-1729)",19120214,20001231,113999.000000,State,Arizona,AZ,Arizona (1912-02-14)
16,Arizona Territory,az_terr,1,1863-02-24,1866-05-04,The United States created  Arizona Territory from the western portion of New Mexico Territory and a part of present Nevada.,"(U.S. Stat., vol. 12, ch. 56[1863]/pp. 664-665; Ariz. Terr. Laws 1864, 1st assy./ pp. vii-viii; Van Zandt, 162)",18630224,18660504,125768.000000,Territory,Arizona Territory,AZ Terr,Arizona Territory (1863-02-24)
17,Arizona Territory,az_terr,2,1866-05-05,1912-02-13,State of Nevada gained parts of MOHAVE and PAH-UTE (extinct) when the United States transferred the portion of Arizona Territory lying between 37 degrees and 42 degrees of north latitude and west of 114 degrees west longitude to Nevada.,"(U.S. Stat., vol. 14, ch. 73[1866]/p. 43; Van Zandt, 158, 165; Ariz. Terr. Laws 1867, 3rd assy./ pp. 67-68; Ariz. Terr. Laws 1868, 4th assy./ pp. 68-69)",18660505,19120213,113999.000000,Territory,Arizona Territory,AZ Terr,Arizona Territory (1866-05-05)
18,California,ca_state,1,1850-09-09,1959-12-30,The state of California was admitted to the Union.,"(U.S. Stat., vol. 9, ch. 50[1850], pp. 452-453; Van Zandt, 151)",18500909,19591230,158097.000000,State,California,CA,California (1850-09-09)
